"idLeitura";"fkMaquina";"sistemaOperacional";"cpuMedia";"qtdProcessador";"ramTotal";"ramUso";"ramUsoPercent";"discoTotal";"discoUso";"discoLivre";"discoPercent";"dataHora"
156;50000;"NFTS";3;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:08"
157;50000;"NFTS";3;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:11"
158;50000;"NFTS";5;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:14"
159;50000;"NFTS";7;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:17"
160;50000;"NFTS";3;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:20"
161;50000;"NFTS";3;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:23"
162;50000;"NFTS";2;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:26"
163;50000;"NFTS";3;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:29"
164;50000;"NFTS";4;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:32"
165;50000;"NFTS";3;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:35"
166;50000;"NFTS";2;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:38"
167;50000;"NFTS";3;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:41"
168;50000;"NFTS";3;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:44"
169;50000;"NFTS";3;8;8.37;6.9;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:47"
170;50000;"NFTS";12;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:50"
171;50000;"NFTS";2;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:53"
172;50000;"NFTS";6;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:12:57"
173;50000;"NFTS";3;8;8.37;6.89;82;488.1;168.48;319.61;34.5;"2022-10-18 06:13:00"
174;50000;"NFTS";3;8;8.37;6.9;82;488.1;168.48;319.61;34.5;"2022-10-18 06:13:03"
175;50000;"NFTS";7;8;8.37;6.91;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:06"
176;50000;"NFTS";2;8;8.37;6.91;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:09"
177;50000;"NFTS";2;8;8.37;6.91;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:12"
178;50000;"NFTS";3;8;8.37;6.91;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:15"
179;50000;"NFTS";4;8;8.37;6.91;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:18"
180;50000;"NFTS";2;8;8.37;6.91;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:21"
181;50000;"NFTS";8;8;8.37;6.92;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:24"
182;50000;"NFTS";29;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:13:27"
183;50000;"NFTS";3;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:13:30"
184;50000;"NFTS";4;8;8.37;6.99;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:33"
185;50000;"NFTS";2;8;8.37;6.98;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:36"
186;50000;"NFTS";4;8;8.37;6.98;83;488.1;168.48;319.61;34.5;"2022-10-18 06:13:39"
187;50000;"NFTS";2;8;8.37;6.98;83;488.1;168.49;319.61;34.5;"2022-10-18 06:13:42"
188;50000;"NFTS";4;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:13:45"
